eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0680010S,8088,35,172,32,171,0,0,144,34,0,0,27,1,0,0,0,1,16,3,16,0,14.0,16,3,0,16,0,0
0241131Z,27099,30,899,649,877,529,114,95,36,20,10,233,22,6,1,1,14,28,19,22,6,0.0,14,2,10,4,0,14
0952260R,11644,188,1242,936,1242,707,193,159,66,44,23,332,0,0,0,0,0,187,136,184,0,23.0,140,43,112,19,9,47
0952259P,33774,20,152,76,112,27,3,17,3,26,9,42,40,8,4,2,26,14,8,11,3,5.0,10,2,1,1,8,4
9711032V,25346,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0.0,11,4,0,0,11,0
0624488S,25007,18,82,59,82,15,1,18,1,5,4,44,0,0,0,0,0,17,15,17,0,10.0,4,1,2,1,1,13
0750654D,21162,45,1406,736,1406,1231,98,1,0,0,0,174,0,0,0,0,0,43,27,43,0,20.0,42,7,42,0,0,1
0400007R,5201,15,91,8,90,7,0,28,7,38,11,17,1,0,1,0,0,13,0,12,1,3.0,11,3,0,5,6,2
0251872M,18695,15,28,17,20,7,2,4,0,5,2,4,8,2,1,3,2,0,0,0,0,0.0,0,0,0,0,0,0
0840685N,31971,40,383,296,361,185,57,44,22,21,10,111,22,5,2,1,14,38,29,29,9,2.0,21,6,15,4,2,17
0311383K,12217,28,174,128,169,133,33,4,1,1,1,31,5,1,0,0,4,25,20,24,1,4.0,25,3,25,0,0,0
0622110G,7411,30,53,18,47,0,0,4,0,40,21,3,6,0,1,2,3,15,6,15,0,14.0,15,10,0,0,15,0
0700905D,29685,5,63,11,63,33,4,5,1,5,2,20,0,0,0,0,0,6,2,6,0,5.0,5,0,4,0,1,1
0291208F,3885,19,135,83,133,32,2,48,10,35,9,18,2,1,0,0,1,12,7,12,0,6.0,12,2,0,7,5,0
0932268K,28359,4,30,30,30,6,0,1,0,0,0,23,0,0,0,0,0,3,3,3,0,3.0,0,0,0,0,0,3
0593114P,31616,24,1003,470,1003,900,53,0,0,0,0,103,0,0,0,0,0,21,16,21,0,1.0,21,2,21,0,0,0
0782076H,9999,78,532,435,508,427,80,16,5,5,2,60,24,9,0,0,15,78,73,75,3,9.0,70,19,70,0,0,8
0212195Z,74,48,1371,317,1361,1355,99,0,0,0,0,6,10,10,0,0,0,23,2,21,2,12.0,23,3,23,0,0,0
0542408Z,6389,35,585,259,517,99,15,175,43,112,35,131,68,0,13,23,32,32,12,21,11,4.0,24,4,9,8,7,8
0640017W,13694,12,425,278,425,182,37,60,15,52,18,131,0,0,0,0,0,12,10,12,0,5.0,11,5,5,2,4,1
0783389K,23294,68,2254,1969,2254,253,56,359,121,250,111,1392,0,0,0,0,0,68,61,67,0,0.0,29,2,16,10,3,39
0782076H,29020,40,664,514,664,401,71,28,10,8,2,227,0,0,0,0,0,37,31,36,0,0.0,26,9,25,1,0,11
0251215K,27293,36,1651,1193,1651,1075,171,69,27,3,2,504,0,0,0,0,0,33,26,33,0,0.0,31,5,31,0,0,2
0061887U,2328,26,456,346,456,144,27,108,31,55,24,149,0,0,0,0,0,24,18,24,0,4.0,12,3,3,9,0,12
0333298F,31080,90,2055,1173,2055,1196,175,60,12,8,3,791,0,0,0,0,0,81,33,81,0,1.0,56,9,51,3,2,25
0440984F,19170,95,1879,1641,1879,1068,193,232,53,28,8,551,0,0,0,0,0,93,80,93,0,37.0,75,16,59,15,1,18
0782546U,32783,8,113,87,113,33,6,29,4,14,2,37,0,0,0,0,0,9,4,9,0,2.0,5,2,3,0,2,4
0753602H,23744,25,326,255,326,58,2,56,7,51,9,161,0,0,0,0,0,25,17,25,0,7.0,9,0,3,5,1,16
9720005Y,20246,28,463,404,368,48,31,93,51,154,101,73,95,11,0,45,39,31,29,25,6,15.0,27,13,1,7,19,4
9741204R,26500,130,988,539,780,380,143,158,103,50,37,192,208,18,22,44,124,104,53,47,57,8.0,48,28,25,7,16,56
0450051L,5663,34,919,116,919,136,26,221,66,206,77,356,0,0,0,0,0,34,1,33,0,13.0,28,8,9,10,9,6
0755976N,9348,140,8396,7097,8396,3889,751,845,271,159,66,3503,0,0,0,0,0,150,142,150,0,29.0,144,25,114,28,2,6
0622198C,7429,42,220,17,213,25,3,41,10,46,13,101,7,0,0,4,3,38,2,37,0,15.0,27,11,2,12,13,11
0492433D,25385,90,1432,577,1322,1009,91,135,19,14,4,164,110,24,11,3,72,72,30,67,5,19.0,58,3,52,6,0,14
0623985V,7523,183,1611,724,1611,611,122,707,240,34,12,259,0,0,0,0,0,182,100,182,0,73.0,164,43,70,89,5,18
0331760J,4367,33,648,325,613,109,30,184,66,99,40,221,35,1,3,20,11,27,9,20,7,2.0,19,6,4,11,4,8
0540041B,6261,35,696,344,610,262,71,152,48,15,6,181,86,13,8,4,61,28,16,20,8,6.0,18,8,10,8,0,10
0763111U,26792,36,423,188,348,210,34,12,5,2,1,124,75,30,2,2,41,31,16,11,20,0.0,18,9,12,3,3,13
0310152X,66,40,613,62,613,0,0,563,168,0,0,50,0,0,0,0,0,40,12,40,0,20.0,39,9,0,39,0,1
0420042T,5290,24,1235,827,1235,220,55,364,123,164,71,487,0,0,0,0,0,18,11,18,0,4.0,14,4,2,9,3,4
0060670W,2235,61,398,304,335,125,28,60,16,55,19,95,63,9,6,10,38,57,46,53,4,21.0,44,10,29,7,8,13
0690038S,8216,35,1003,767,1003,42,10,408,218,276,165,277,0,0,0,0,0,33,25,33,0,4.0,28,17,2,14,12,5
0560181T,6453,11,107,4,107,0,0,29,1,61,11,17,0,0,0,0,0,11,0,11,0,2.0,11,2,0,2,9,0
0382099A,17697,15,239,50,239,29,1,91,21,80,27,39,0,0,0,0,0,17,1,17,0,0.0,13,4,4,3,6,4
0760091L,9594,35,817,523,807,77,22,275,108,266,130,189,10,0,0,6,4,33,21,33,0,2.0,29,13,2,11,16,4
0640220S,7727,32,235,96,235,21,3,76,20,50,18,88,0,0,0,0,0,32,15,32,0,25.0,31,10,0,23,8,1
0280706R,3743,17,140,74,124,6,0,18,7,14,7,86,16,4,2,0,10,13,6,7,4,2.0,10,2,1,3,6,3
0672198A,7995,23,257,26,242,42,6,78,14,31,7,91,15,4,3,2,6,16,1,14,1,1.0,14,6,4,7,3,2
0141408E,19500,25,102,64,87,44,13,9,4,2,1,32,15,4,0,0,11,9,6,7,2,3.0,4,0,4,0,0,5
0350937D,4738,40,45,31,31,16,10,3,1,3,1,9,14,1,0,5,8,9,5,5,4,5.0,3,3,1,0,2,6
0430020N,5383,8,60,4,57,4,0,27,5,19,1,7,3,1,0,0,2,6,0,4,2,1.0,4,0,1,2,1,2
0311383K,4150,85,323,219,197,43,25,20,13,18,11,116,126,6,10,11,99,84,57,39,45,38.0,24,17,8,4,12,60
0690032K,8195,34,1233,909,1233,53,16,486,229,350,192,344,0,0,0,0,0,33,27,33,0,6.0,18,5,1,6,11,15
0750705J,15695,35,3015,1769,3015,626,169,1096,448,482,256,811,0,0,0,0,0,32,17,32,0,1.0,23,13,7,12,4,9
0597065J,7081,40,67,43,44,20,8,5,3,7,2,12,23,4,2,1,16,12,11,6,6,6.0,5,1,3,1,1,7
9710884J,21616,16,92,14,92,10,1,33,18,34,22,15,0,0,0,0,0,17,3,17,0,4.0,17,9,3,6,8,0
0755931P,29940,91,888,71,473,40,7,131,41,155,47,147,415,55,111,78,171,49,3,9,40,9.0,34,4,4,11,19,15
0510035L,6074,30,781,514,781,160,38,139,49,70,30,412,0,0,0,0,0,29,18,29,0,4.0,16,4,9,4,3,13
0141408E,27702,120,692,515,638,440,79,39,14,3,2,156,54,28,1,0,25,107,85,78,29,9.0,75,15,67,8,0,32
0450064A,5667,15,184,38,184,17,1,63,8,65,23,39,0,0,0,0,0,13,3,13,0,3.0,13,3,2,4,7,0
0370770L,4867,23,897,441,897,614,41,118,11,2,2,163,0,0,0,0,0,28,15,27,0,5.0,25,2,15,10,0,3
0640181Z,18102,13,184,19,184,36,2,31,11,43,14,74,0,0,0,0,0,13,1,13,0,4.0,9,0,2,2,5,4
0820899G,14524,24,282,74,257,8,0,22,9,74,34,153,25,2,8,0,15,15,1,12,2,4.0,9,2,0,1,8,6
0010059J,2013,30,327,237,325,92,17,126,23,42,12,65,2,0,0,2,0,23,21,23,0,4.0,20,3,6,11,3,3
0850130E,10499,35,536,206,533,121,15,210,22,117,22,85,3,0,2,0,1,34,14,34,0,9.0,34,4,8,16,10,0
0341089Z,4582,65,365,261,338,214,72,16,8,17,10,91,27,4,2,1,20,65,49,50,15,10.0,39,18,36,1,2,26
0062205P,23959,25,85,50,48,29,4,0,0,3,3,16,37,3,1,3,30,7,4,5,2,1.0,3,0,3,0,0,4
0731383G,8831,12,170,18,170,114,18,17,2,1,1,38,0,0,0,0,0,12,1,12,0,8.0,11,4,11,0,0,1
0470029B,5780,15,60,43,56,1,0,3,2,33,14,19,4,1,0,1,2,8,5,6,2,5.0,5,2,0,0,5,3
0940116R,11379,35,1008,712,1008,30,11,314,152,351,193,313,0,0,0,0,0,36,26,35,0,4.0,28,15,2,13,13,8
0332194F,12344,35,820,607,812,208,45,163,44,137,49,304,8,0,2,0,6,27,25,26,1,5.0,20,5,6,4,10,7
0754086J,9511,33,1304,637,720,98,16,252,93,195,65,175,584,87,169,86,242,25,12,15,10,1.0,20,3,6,8,6,5
0681166Y,20734,10,63,55,63,36,14,7,4,7,5,13,0,0,0,0,0,10,9,10,0,3.0,8,5,7,1,0,2
0383546Y,30762,60,1627,1052,1627,1192,245,38,17,6,2,391,0,0,0,0,0,59,38,59,0,4.0,59,9,59,0,0,0
0600013N,7218,25,235,103,181,33,12,60,22,28,13,60,54,2,11,13,28,24,7,11,7,0.0,14,8,2,8,4,10
0030098R,2139,52,338,20,297,159,29,77,14,9,1,52,41,10,2,2,27,22,1,17,5,9.0,17,5,13,3,1,5
0911264E,10929,96,521,344,424,128,17,74,16,41,14,181,97,14,21,10,52,48,29,36,12,22.0,27,5,15,10,2,21
0371610Z,14,150,7833,1959,7833,7033,591,0,0,0,0,800,0,0,0,0,0,164,34,164,0,79.0,159,11,159,0,0,5
0751719L,24062,24,98,57,60,34,7,8,1,4,1,14,38,8,7,2,21,24,12,12,12,7.0,14,3,10,1,3,10
0900424X,56,270,4705,1133,4705,4238,251,0,0,0,0,467,0,0,0,0,0,271,49,271,0,118.0,271,21,271,0,0,0
0590018Z,6719,48,104,53,102,0,0,25,9,54,26,23,2,0,1,0,1,35,16,34,1,23.0,18,13,0,7,11,17
0921204J,27454,20,228,144,107,80,14,4,3,6,4,17,121,23,10,10,78,17,11,7,10,1.0,8,3,5,2,1,9
0754791A,23756,28,352,316,96,17,1,15,3,5,2,59,256,26,21,18,191,30,28,8,22,0.0,7,1,3,2,2,23
0755976N,23819,15,538,340,538,405,71,12,5,3,2,118,0,0,0,0,0,15,9,15,0,2.0,14,2,14,0,0,1
0490970N,15534,15,237,127,107,69,8,1,0,1,0,36,130,67,3,0,60,6,4,5,1,3.0,5,1,5,0,0,1
0910622G,10851,32,562,330,562,17,3,173,56,159,78,213,0,0,0,0,0,30,16,29,0,4.0,20,6,0,10,10,10
0753488J,9388,15,12,7,9,3,1,1,1,0,0,5,3,0,1,0,2,3,1,2,1,2.0,1,0,1,0,0,2
0772496V,20962,15,85,8,70,40,2,11,1,2,2,17,15,10,1,0,4,12,0,11,1,5.0,11,1,10,0,1,1
0624430D,7333,30,193,3,193,17,1,61,14,71,21,44,0,0,0,0,0,26,0,26,0,3.0,24,7,2,8,14,2
0290335G,17711,15,205,12,205,44,1,64,6,54,8,43,0,0,0,0,0,15,0,15,0,5.0,13,1,2,7,4,2
0930121B,11177,35,446,140,369,276,74,1,0,1,1,91,77,34,0,1,42,29,7,26,3,7.0,23,8,23,0,0,6
0851415B,10555,50,178,53,147,119,12,1,0,0,0,27,31,15,0,0,16,13,4,11,2,5.0,10,0,10,0,0,3
0131484T,34041,15,56,29,51,0,0,10,2,30,7,11,5,0,1,3,1,2,1,2,0,2.0,2,0,0,0,2,0
0350709F,18616,15,224,27,224,23,2,40,6,125,25,36,0,0,0,0,0,12,2,12,0,1.0,10,3,0,2,8,2
0921204J,24468,10,129,89,46,24,7,4,2,0,0,18,83,19,3,5,56,9,7,0,9,0.0,2,1,2,0,0,7
6200190M,11684,10,172,71,169,7,2,6,2,11,2,145,3,0,0,0,3,3,2,3,0,3.0,1,1,1,0,0,2
9730001N,11852,36,529,348,529,82,50,121,79,225,147,101,0,0,0,0,0,33,24,33,0,10.0,33,20,8,8,17,0
0251018W,3509,80,1109,794,1109,626,75,219,43,8,3,256,0,0,0,0,0,78,64,78,0,16.0,59,10,35,24,0,19
0692437Z,8501,40,216,161,179,59,31,16,7,23,16,81,37,4,5,4,24,39,30,25,14,1.0,18,14,7,8,3,21
0690670D,26523,100,426,310,360,93,21,102,29,32,12,133,66,11,20,2,33,29,22,29,0,6.0,14,4,5,7,2,15
0830050D,10340,35,710,388,710,80,29,244,95,228,95,158,0,0,0,0,0,28,18,27,0,3.0,21,9,3,11,7,7
0311382J,4141,27,242,206,242,206,40,7,2,0,0,29,0,0,0,0,0,27,25,27,0,7.0,26,5,26,0,0,1
0410018X,5240,24,254,189,249,56,14,97,27,54,19,42,5,0,0,4,1,25,16,24,1,13.0,24,8,6,12,6,1
0754030Y,9500,26,268,128,268,111,9,41,3,26,8,90,0,0,0,0,0,28,17,28,0,5.0,21,3,8,6,7,7
0460028F,5747,24,369,67,369,15,4,81,12,54,16,219,0,0,0,0,0,22,2,22,0,1.0,18,4,0,9,9,4
0860856N,23575,5,48,38,48,32,8,4,1,1,1,11,0,0,0,0,0,5,4,5,0,5.0,4,1,3,1,0,1
9720832X,26832,50,335,231,167,117,23,12,6,5,2,33,168,86,6,3,73,43,30,16,27,3.0,30,8,25,3,2,13
0311201M,4120,35,185,51,159,18,6,53,11,55,22,33,26,0,5,14,7,25,8,20,5,6.0,18,5,0,5,13,7
0290070U,3799,28,630,582,629,68,18,180,34,211,65,170,1,1,0,0,0,26,25,26,0,2.0,24,5,4,11,9,2
0170020E,3017,15,299,51,247,30,5,81,16,39,6,97,52,6,15,12,19,11,2,3,8,0.0,7,2,3,1,3,4
0881452A,16090,24,233,103,233,71,8,40,4,51,8,71,0,0,0,0,0,22,8,22,0,7.0,22,2,6,6,10,0
0782549X,10033,24,207,4,157,11,5,47,3,78,34,21,50,1,0,33,16,21,1,17,4,4.0,20,6,2,8,10,1
0920674H,116,15,113,50,113,100,6,0,0,0,0,13,0,0,0,0,0,13,4,13,0,4.0,12,1,12,0,0,1
0597065J,29185,105,7072,4670,7072,5837,884,81,36,12,7,1142,0,0,0,0,0,104,74,104,0,26.0,103,22,103,0,0,1
0771658J,21914,16,202,158,133,32,5,51,10,4,1,46,69,12,11,10,36,12,11,9,3,2.0,5,0,2,1,2,7
9710585J,19990,350,748,383,547,317,139,104,60,30,23,96,201,39,28,32,102,242,114,146,94,104.0,162,92,86,45,31,80
0211091X,25361,12,41,23,39,9,0,6,0,10,0,14,2,0,0,0,2,10,7,8,2,2.0,2,0,0,2,0,8
0750612H,21791,15,667,403,667,265,38,129,20,29,4,244,0,0,0,0,0,16,13,16,0,1.0,16,1,7,9,0,0
9711082Z,30704,15,43,37,43,0,0,3,3,37,30,3,0,0,0,0,0,14,13,14,0,8.0,13,10,0,0,13,1
0350791V,4684,30,144,13,136,3,1,27,1,71,10,35,8,0,1,3,4,12,0,9,3,6.0,11,5,2,2,7,1
9730144U,23374,75,834,698,834,188,93,150,91,147,91,349,0,0,0,0,0,73,67,73,0,22.0,48,29,13,27,8,25
0341089Z,4579,185,1654,1278,1629,989,327,153,81,51,31,436,25,3,2,2,18,180,139,167,13,30.0,120,47,103,14,3,60
0673015N,26268,175,832,356,793,622,34,55,5,4,0,112,39,9,5,2,23,147,76,139,8,130.0,124,7,112,11,1,23
0590348H,22897,15,125,7,121,0,0,121,26,0,0,0,4,0,4,0,0,5,0,5,0,4.0,5,2,0,5,0,0
0211599Z,23086,40,2994,2521,2994,537,93,556,110,277,87,1624,0,0,0,0,0,40,29,40,0,1.0,17,1,7,7,3,23
0941111X,14513,40,1522,486,664,408,105,55,22,26,12,175,858,333,73,41,411,36,21,19,17,11.0,34,7,34,0,0,2
0881679X,10757,52,771,92,597,352,66,125,29,9,4,111,174,39,16,1,118,45,2,41,4,4.0,34,6,25,9,0,11
0770940D,9824,27,494,240,340,31,12,101,30,120,47,88,154,37,0,34,83,30,10,24,0,8.0,28,9,1,15,12,2
0230025C,21751,16,390,327,390,142,11,141,25,33,7,74,0,0,0,0,0,16,15,16,0,2.0,16,1,7,9,0,0
0330169E,4328,15,253,146,253,251,24,0,0,0,0,2,0,0,0,0,0,15,11,15,0,1.0,15,1,15,0,0,0
0750802P,21747,15,964,770,964,476,95,116,36,80,23,292,0,0,0,0,0,14,13,14,0,0.0,10,1,8,2,0,4
0740017S,8868,15,864,157,864,49,7,87,18,49,12,679,0,0,0,0,0,15,0,15,0,4.0,12,1,1,5,6,3
0140043W,2831,36,443,337,443,119,19,91,24,82,37,151,0,0,0,0,0,35,30,35,0,8.0,31,6,9,13,9,4
0180561M,26534,24,188,132,160,52,10,31,3,13,5,64,28,2,1,6,19,15,13,11,4,3.0,9,0,4,4,1,6
0762637D,25272,79,2395,2036,2395,476,91,423,115,242,93,1254,0,0,0,0,0,78,72,78,0,3.0,56,12,27,18,11,22
0931827F,28174,32,571,453,571,302,94,54,23,34,16,181,0,0,0,0,0,30,23,30,0,0.0,13,3,7,5,1,17
9741050Y,11945,30,496,370,496,34,11,193,123,176,119,93,0,0,0,0,0,28,25,28,0,8.0,28,17,2,14,12,0
7200583W,11705,25,187,93,184,38,11,60,15,27,13,59,3,0,0,3,0,23,8,23,0,7.0,20,12,1,14,5,3
0830165D,10357,26,840,398,838,543,44,96,18,2,2,197,2,0,0,0,2,25,13,25,0,3.0,22,4,13,9,0,3
0300021K,31325,48,583,306,547,409,57,1,1,0,0,137,36,17,2,0,17,26,12,26,0,2.0,24,3,24,0,0,2
0383546Y,31711,60,2930,1747,2930,2346,318,75,18,10,5,499,0,0,0,0,0,60,41,60,0,4.0,60,8,60,0,0,0
0671609K,31391,20,157,77,153,130,5,0,0,1,0,22,4,2,0,0,2,9,4,9,0,5.0,8,1,8,0,0,1
0931827F,30896,75,226,160,103,20,13,2,1,6,4,75,123,14,9,8,92,67,47,27,38,27.0,18,14,4,7,7,49
0690564N,8308,36,1006,669,979,899,50,0,0,0,0,80,27,10,0,0,17,29,21,27,2,2.0,28,0,28,0,0,1
0900236T,30550,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0.0,11,5,0,0,11,0
0597132G,32814,15,83,69,83,43,10,14,4,1,0,25,0,0,0,0,0,12,10,12,0,3.0,11,4,7,4,0,1
0673021V,21481,90,1089,947,1089,544,108,93,26,21,8,431,0,0,0,0,0,89,83,89,0,9.0,68,12,57,9,2,21
0211033J,3209,15,237,18,233,9,1,69,17,115,35,40,4,0,0,3,1,14,1,13,1,0.0,14,5,0,5,9,0
0370074E,24867,15,19,15,17,2,1,3,0,3,0,9,2,0,0,0,2,3,3,2,1,2.0,1,0,1,0,0,2
0801344B,28598,20,1209,846,1209,854,160,25,9,5,1,325,0,0,0,0,0,22,18,22,0,1.0,22,2,22,0,0,0
0751720M,19346,25,258,150,67,32,12,4,1,3,3,28,191,27,16,7,141,17,8,10,7,3.0,8,1,5,3,0,9
0130048G,17653,30,1079,665,1079,64,41,326,203,298,227,391,0,0,0,0,0,33,18,29,0,5.0,14,11,1,5,8,19
0022044L,2108,15,108,55,89,27,7,9,0,12,8,41,19,2,2,5,10,8,5,4,4,2.0,6,3,3,1,2,2
0631861F,24454,15,1245,784,1245,541,101,273,64,110,38,321,0,0,0,0,0,15,12,15,0,1.0,11,1,6,5,0,4
0131684K,2668,24,298,140,227,52,17,44,18,35,17,96,71,13,0,16,42,19,6,10,9,4.0,11,7,5,4,2,8
0951727L,11616,35,609,279,609,39,11,207,79,205,86,158,0,0,0,0,0,34,17,34,0,3.0,25,10,0,12,13,9
0132733A,2775,30,224,23,214,0,0,198,53,0,0,16,10,0,3,0,7,24,2,22,2,10.0,18,6,0,18,0,6
0783344L,16215,28,339,166,225,63,5,94,12,22,3,46,114,0,74,0,40,13,6,10,3,4.0,5,0,0,5,0,8
0010072Y,2016,24,411,292,381,86,15,78,23,76,34,141,30,0,13,0,17,19,17,14,2,3.0,14,9,4,3,7,5
0134015U,28584,10,327,179,321,146,51,21,12,3,0,151,6,2,0,0,4,9,5,7,2,0.0,6,2,6,0,0,3
0130040Y,2546,96,2697,777,2697,2307,271,4,3,2,2,384,0,0,0,0,0,96,35,96,0,13.0,95,16,95,0,0,1
0312289V,4218,28,379,26,379,34,3,197,32,91,25,57,0,0,0,0,0,27,3,27,0,3.0,24,8,1,14,9,3
0251215K,3558,100,552,362,461,294,55,43,8,23,8,101,91,22,6,6,57,84,52,65,19,17.0,55,12,44,7,4,29
0261100E,24366,15,280,227,280,93,14,91,20,19,6,77,0,0,0,0,0,11,7,11,0,2.0,8,1,3,5,0,3
0860856N,28741,35,371,293,371,274,62,10,2,3,2,84,0,0,0,0,0,34,28,34,0,5.0,30,5,29,1,0,4
0750647W,8950,59,1253,525,1253,133,38,514,224,253,128,353,0,0,0,0,0,59,30,59,0,14.0,46,23,5,23,18,13
0630069H,7581,24,576,114,541,27,3,99,22,34,8,381,35,2,4,2,27,20,3,13,7,4.0,12,2,4,7,1,8
0141164P,30164,36,237,50,154,127,4,1,0,0,0,26,83,40,1,0,42,12,4,10,2,1.0,5,0,5,0,0,7
0950641F,11556,29,843,66,843,77,21,267,117,199,101,300,0,0,0,0,0,29,1,29,0,5.0,25,12,2,12,11,4
0624430D,7331,35,1273,738,1273,312,77,399,131,173,64,389,0,0,0,0,0,33,20,33,0,7.0,28,9,10,14,4,5
0133794D,12539,105,974,581,974,597,162,135,67,9,5,233,0,0,0,0,0,99,51,99,0,28.0,75,18,64,8,3,24
0290177K,3820,26,187,94,176,35,2,63,9,24,5,54,11,0,3,3,5,19,12,19,0,5.0,14,2,5,5,4,5
0755976N,29875,20,181,151,157,87,13,6,3,1,0,63,24,2,2,1,19,20,15,10,10,0.0,8,0,6,0,2,12
0220059V,30562,16,61,21,0,0,0,0,0,0,0,0,61,3,15,18,25,16,3,0,15,0.0,14,6,1,4,9,2
0620257T,7410,18,173,69,172,31,2,33,6,30,17,78,1,0,0,0,1,16,10,16,0,3.0,10,5,1,1,8,6
0595867G,7163,33,1530,811,1530,431,130,373,183,163,82,563,0,0,0,0,0,35,22,35,0,4.0,23,7,13,6,4,12
0312267W,4212,12,1337,205,1337,491,87,141,39,169,58,536,0,0,0,0,0,12,4,12,0,2.0,9,2,6,0,3,3
0593255T,6990,32,417,256,381,89,16,112,34,25,7,155,36,2,10,3,21,32,21,26,6,4.0,21,3,4,14,3,11
0942117R,23280,69,3529,3112,3529,333,86,551,224,520,257,2125,0,0,0,0,0,64,59,62,0,1.0,28,13,6,11,11,36
0420976H,5315,15,88,4,88,3,1,40,6,33,10,12,0,0,0,0,0,15,0,15,0,5.0,12,4,1,5,6,3
0031082K,2156,30,959,790,959,236,31,279,61,68,23,376,0,0,0,0,0,29,25,29,0,2.0,22,3,11,8,3,7
0261265J,3662,24,307,115,293,3,1,19,6,15,2,256,14,0,2,1,11,7,1,4,3,4.0,6,0,0,2,4,1
0881587X,33913,15,25,13,18,0,0,3,2,3,1,12,7,1,0,1,5,2,2,0,2,0.0,1,0,0,0,1,1
0450855K,23458,90,569,391,407,281,68,20,5,30,10,76,162,30,8,16,108,58,33,36,22,8.0,36,7,27,3,6,22
0251215K,18426,30,54,30,32,23,2,0,0,2,1,7,22,3,1,3,15,0,0,0,0,0.0,0,0,0,0,0,0
0783053V,10074,42,1002,689,1002,886,51,1,0,0,0,115,0,0,0,0,0,42,29,42,0,32.0,42,2,42,0,0,0
0755188G,28675,200,5895,4371,5895,4070,874,143,64,41,27,1641,0,0,0,0,0,198,171,198,0,18.0,185,32,185,0,0,13
0360009P,4795,28,327,195,292,28,8,87,31,84,44,93,35,5,0,7,23,24,18,22,1,9.0,20,9,1,10,9,4
0211237F,27663,72,1717,1248,1717,1348,231,36,6,9,4,324,0,0,0,0,0,72,56,72,0,3.0,66,18,64,2,0,6
0692437Z,8537,30,696,314,696,522,85,21,9,5,3,148,0,0,0,0,0,30,13,30,0,6.0,26,3,25,1,0,4
0530068L,18336,18,102,48,97,0,0,18,2,69,17,10,5,0,0,3,2,11,5,11,0,7.0,11,2,0,0,11,0
0790007D,10103,18,229,100,194,20,4,44,9,24,12,106,35,4,2,8,21,8,3,4,4,1.0,5,4,1,0,4,3
0141408E,19209,150,1471,592,1405,988,150,79,24,14,5,324,66,17,3,0,46,140,44,119,20,8.0,92,13,87,4,1,48
0801344B,25338,30,228,176,203,131,37,21,2,4,0,47,25,5,3,1,16,30,19,17,13,2.0,16,6,11,4,1,14
0450782F,5698,36,1322,712,1322,128,37,537,186,378,179,279,0,0,0,0,0,33,21,33,0,6.0,30,14,5,13,12,3
0332293N,23943,87,7143,5957,7143,1497,266,1118,290,488,159,4040,0,0,0,0,0,91,78,91,0,0.0,36,12,15,21,0,55
0142108R,2921,24,91,34,91,0,0,20,4,49,10,22,0,0,0,0,0,24,10,24,0,13.0,17,3,0,5,12,7
0762762P,9732,70,429,316,388,327,55,10,3,3,2,48,41,20,3,0,18,67,53,64,3,31.0,63,13,63,0,0,4
0530004S,6191,30,474,222,473,41,6,147,36,124,46,161,1,0,0,0,1,30,14,30,0,7.0,28,10,6,14,8,2
0911577V,10935,33,408,185,408,28,5,167,70,103,53,110,0,0,0,0,0,34,15,34,0,7.0,26,5,0,14,12,8
0660832W,7900,160,2020,593,2020,1325,232,261,58,39,11,395,0,0,0,0,0,156,38,156,0,33.0,129,27,106,21,2,27
0801479Y,10228,35,395,341,338,30,6,107,30,117,37,84,57,4,0,23,30,25,24,23,1,0.0,23,7,2,7,14,2
0390024P,21573,17,182,103,182,53,3,40,6,27,3,62,0,0,0,0,0,16,7,16,0,2.0,11,2,4,4,3,5
0311323V,21694,15,243,192,243,86,22,81,19,8,3,68,0,0,0,0,0,15,12,15,0,1.0,13,2,5,8,0,2
9720832X,19466,90,332,215,252,133,46,46,19,6,4,67,80,14,14,8,44,76,42,43,33,16.0,41,18,24,15,2,35
0342321N,4541,1120,7793,5774,7736,5532,1280,639,236,143,82,1422,57,14,6,1,36,1108,806,1067,40,258.0,923,277,835,69,19,185
0622949U,7462,35,179,121,169,8,2,52,25,64,35,45,10,2,1,4,3,26,21,24,2,8.0,21,9,2,5,14,5
0211237F,3249,15,49,38,37,25,5,0,0,1,0,11,12,0,0,3,9,5,5,3,2,1.0,3,1,2,0,1,2
0490970N,21821,55,207,159,152,79,10,27,6,9,0,37,55,10,10,4,31,37,31,29,8,19.0,28,4,11,13,4,9
0383546Y,5082,80,957,637,957,593,161,75,26,31,18,258,0,0,0,0,0,80,52,80,0,14.0,68,20,58,4,6,12
0781069N,14645,30,124,97,107,30,3,34,1,18,3,25,17,2,3,3,9,13,11,10,3,4.0,10,0,4,2,4,3
